total_cost
10742.11
11205.37
12894.22
10133.45
11980.09
13702.54
10987.66
12540.31
11677.99
13358.42
11412.08
12144.70
12988.33
11852.27
12673.91
11103.56
13912.44
12305.18
13066.01
11735.89
